Namespace(batchSize=128, epoch=100, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg16/noise_0.3.pth', ngpu=1, noise=0.3)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 42.26851034164429, Train loss: 0.018629318704605102, Train accuracy: 0.10416, Test loss: 0.018777239322662353, Test accuracy: 0.105
[Epoch 1] Time: 81.7761459350586, Train loss: 0.0185751514339447, Train accuracy: 0.10694, Test loss: 0.018764516806602478, Test accuracy: 0.1038
[Epoch 2] Time: 121.37487483024597, Train loss: 0.01837742220401764, Train accuracy: 0.11306, Test loss: 0.018538623499870302, Test accuracy: 0.1169
[Epoch 3] Time: 161.15845394134521, Train loss: 0.016164539818763732, Train accuracy: 0.18486, Test loss: 0.016401392757892607, Test accuracy: 0.1821
[Epoch 4] Time: 201.10032558441162, Train loss: 0.015393738143444061, Train accuracy: 0.20352, Test loss: 0.015754712641239167, Test accuracy: 0.1971
[Epoch 5] Time: 241.1222279071808, Train loss: 0.014418140678405762, Train accuracy: 0.28662, Test loss: 0.014826279711723327, Test accuracy: 0.2796
[Epoch 6] Time: 281.0719962120056, Train loss: 0.013363570303916932, Train accuracy: 0.32992, Test loss: 0.014054231429100037, Test accuracy: 0.3156
[Epoch 7] Time: 320.8461515903473, Train loss: 0.011773313643932342, Train accuracy: 0.43376, Test loss: 0.012440284848213195, Test accuracy: 0.4181
[Epoch 8] Time: 360.95178413391113, Train loss: 0.010180229814052581, Train accuracy: 0.51836, Test loss: 0.010701202583312988, Test accuracy: 0.5042
[Epoch 9] Time: 400.89484691619873, Train loss: 0.009227270059585572, Train accuracy: 0.57052, Test loss: 0.009966646659374237, Test accuracy: 0.5521
[Epoch 10] Time: 440.0510320663452, Train loss: 0.008359075362682343, Train accuracy: 0.61516, Test loss: 0.009560842806100846, Test accuracy: 0.5784
[Epoch 11] Time: 479.32311153411865, Train loss: 0.00795751440167427, Train accuracy: 0.6425, Test loss: 0.008389906138181686, Test accuracy: 0.6271
[Epoch 12] Time: 518.533016204834, Train loss: 0.007536699162721634, Train accuracy: 0.66184, Test loss: 0.008184413528442383, Test accuracy: 0.6398
[Epoch 13] Time: 558.2541851997375, Train loss: 0.007109192980527878, Train accuracy: 0.68618, Test loss: 0.007998365890979766, Test accuracy: 0.6544
[Epoch 14] Time: 598.154999256134, Train loss: 0.006763273923397064, Train accuracy: 0.70632, Test loss: 0.007457259851694107, Test accuracy: 0.6831
[Epoch 15] Time: 637.6684017181396, Train loss: 0.006197022306919098, Train accuracy: 0.73842, Test loss: 0.006689793366193772, Test accuracy: 0.7208
[Epoch 16] Time: 677.3866817951202, Train loss: 0.0065318846881389616, Train accuracy: 0.7189, Test loss: 0.007520561307668686, Test accuracy: 0.6874
[Epoch 17] Time: 717.1323606967926, Train loss: 0.005914603087902069, Train accuracy: 0.75268, Test loss: 0.0064955007076263425, Test accuracy: 0.729
[Epoch 18] Time: 756.789758682251, Train loss: 0.006005808486938476, Train accuracy: 0.74822, Test loss: 0.006760167557001114, Test accuracy: 0.7183
[Epoch 19] Time: 796.6415028572083, Train loss: 0.005371247215867042, Train accuracy: 0.7741, Test loss: 0.0058380306899547575, Test accuracy: 0.7542
[Epoch 20] Time: 836.140457868576, Train loss: 0.005590579233169556, Train accuracy: 0.76726, Test loss: 0.006349337917566299, Test accuracy: 0.7398
[Epoch 21] Time: 875.7865722179413, Train loss: 0.0053472241032123564, Train accuracy: 0.77936, Test loss: 0.00630228842496872, Test accuracy: 0.7401
[Epoch 22] Time: 915.3719682693481, Train loss: 0.005160963849425316, Train accuracy: 0.78576, Test loss: 0.005696590185165405, Test accuracy: 0.7686
[Epoch 23] Time: 955.0512316226959, Train loss: 0.005552970709204674, Train accuracy: 0.7764, Test loss: 0.00675446971654892, Test accuracy: 0.7362
[Epoch 24] Time: 994.6206865310669, Train loss: 0.005259533812999725, Train accuracy: 0.78298, Test loss: 0.005656025874614716, Test accuracy: 0.7695
[Epoch 25] Time: 1034.0520584583282, Train loss: 0.005079096544981003, Train accuracy: 0.79226, Test loss: 0.005860263532400131, Test accuracy: 0.7569
[Epoch 26] Time: 1073.7668268680573, Train loss: 0.005002367106676102, Train accuracy: 0.78886, Test loss: 0.006101797080039978, Test accuracy: 0.7555
