Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg16/noise_0.pth', ngpu=1, noise=0.0)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 30.981274604797363, Train loss: 0.01780389795780182, Train accuracy: 0.12188, Test loss: 0.01797918140888214, Test accuracy: 0.1231
[Epoch 1] Time: 61.293087005615234, Train loss: 0.016090387268066407, Train accuracy: 0.20816, Test loss: 0.016160590386390686, Test accuracy: 0.2077
[Epoch 2] Time: 91.70608949661255, Train loss: 0.014050322546958923, Train accuracy: 0.28414, Test loss: 0.014133759617805481, Test accuracy: 0.2888
[Epoch 3] Time: 122.21044540405273, Train loss: 0.012208874218463898, Train accuracy: 0.3971, Test loss: 0.012281214988231658, Test accuracy: 0.3987
[Epoch 4] Time: 152.69977450370789, Train loss: 0.00938279748082161, Train accuracy: 0.56362, Test loss: 0.009803578561544419, Test accuracy: 0.5499
[Epoch 5] Time: 183.19758534431458, Train loss: 0.00791810009598732, Train accuracy: 0.64422, Test loss: 0.008583229553699494, Test accuracy: 0.6195
[Epoch 6] Time: 213.7295777797699, Train loss: 0.006793248879909515, Train accuracy: 0.704, Test loss: 0.00715511988401413, Test accuracy: 0.693
[Epoch 7] Time: 244.22040796279907, Train loss: 0.00590394702076912, Train accuracy: 0.745, Test loss: 0.00626839206814766, Test accuracy: 0.735
[Epoch 8] Time: 274.7408118247986, Train loss: 0.005746056531667709, Train accuracy: 0.74842, Test loss: 0.00623212816119194, Test accuracy: 0.7345
[Epoch 9] Time: 305.2426013946533, Train loss: 0.005331007315516472, Train accuracy: 0.7725, Test loss: 0.005973615700006485, Test accuracy: 0.7461
[Epoch 10] Time: 335.77274918556213, Train loss: 0.004725402835011482, Train accuracy: 0.79866, Test loss: 0.005200023865699768, Test accuracy: 0.7856
[Epoch 11] Time: 366.2717053890228, Train loss: 0.004673637663722038, Train accuracy: 0.8024, Test loss: 0.005362304311990738, Test accuracy: 0.7735
[Epoch 12] Time: 396.7994408607483, Train loss: 0.004699367172122002, Train accuracy: 0.8011, Test loss: 0.005572403618693352, Test accuracy: 0.7666
[Epoch 13] Time: 427.38026666641235, Train loss: 0.0046181471729278565, Train accuracy: 0.8018, Test loss: 0.005097549140453339, Test accuracy: 0.7861
[Epoch 14] Time: 457.91666650772095, Train loss: 0.004136388894319535, Train accuracy: 0.82594, Test loss: 0.0047412032127380375, Test accuracy: 0.8025
[Epoch 15] Time: 488.4346845149994, Train loss: 0.0039669053024053574, Train accuracy: 0.8344, Test loss: 0.004868438556790352, Test accuracy: 0.7967
[Epoch 16] Time: 518.9926710128784, Train loss: 0.0043253817594051365, Train accuracy: 0.81532, Test loss: 0.00522832333445549, Test accuracy: 0.7813
[Epoch 17] Time: 549.5535473823547, Train loss: 0.0039599084192514416, Train accuracy: 0.83442, Test loss: 0.004499440485239029, Test accuracy: 0.8126
[Epoch 18] Time: 580.0954103469849, Train loss: 0.003617096969485283, Train accuracy: 0.8454, Test loss: 0.004442188623547554, Test accuracy: 0.8117
[Epoch 19] Time: 610.6203844547272, Train loss: 0.0040152339881658556, Train accuracy: 0.8303, Test loss: 0.004620197787880897, Test accuracy: 0.8057
[Epoch 20] Time: 641.1444993019104, Train loss: 0.003886513553261757, Train accuracy: 0.83572, Test loss: 0.004909675014019012, Test accuracy: 0.8085
[Epoch 21] Time: 671.7166860103607, Train loss: 0.003694073551297188, Train accuracy: 0.84382, Test loss: 0.004434286564588547, Test accuracy: 0.8169
[Epoch 22] Time: 702.2392349243164, Train loss: 0.0036162754040956497, Train accuracy: 0.84618, Test loss: 0.00438749275803566, Test accuracy: 0.8154
[Epoch 23] Time: 732.7648937702179, Train loss: 0.0033830387246608735, Train accuracy: 0.85564, Test loss: 0.004026657527685165, Test accuracy: 0.8393
[Epoch 24] Time: 763.2734920978546, Train loss: 0.003529983417391777, Train accuracy: 0.8529, Test loss: 0.0044001078099012375, Test accuracy: 0.821
[Epoch 25] Time: 793.7924537658691, Train loss: 0.0034495557847619056, Train accuracy: 0.84906, Test loss: 0.00420128361582756, Test accuracy: 0.8252
[Epoch 26] Time: 824.2887210845947, Train loss: 0.003408593347966671, Train accuracy: 0.8571, Test loss: 0.004121471035480499, Test accuracy: 0.832
[Epoch 27] Time: 854.8251898288727, Train loss: 0.003283161644637585, Train accuracy: 0.86186, Test loss: 0.004076101905107498, Test accuracy: 0.8307
[Epoch 28] Time: 885.368320941925, Train loss: 0.003752808183431625, Train accuracy: 0.84128, Test loss: 0.004683607223629952, Test accuracy: 0.8077
[Epoch 29] Time: 915.8774492740631, Train loss: 0.003467417547404766, Train accuracy: 0.85368, Test loss: 0.004223150447010994, Test accuracy: 0.8267
[Epoch 30] Time: 946.379346370697, Train loss: 0.003597084518074989, Train accuracy: 0.84652, Test loss: 0.004506063136458397, Test accuracy: 0.8181
[Epoch 31] Time: 976.9202942848206, Train loss: 0.0033015692430734636, Train accuracy: 0.86002, Test loss: 0.004256733378767967, Test accuracy: 0.8285
[Epoch 32] Time: 1007.431223154068, Train loss: 0.0032978447601199152, Train accuracy: 0.8602, Test loss: 0.003978451308608055, Test accuracy: 0.8329
[Epoch 33] Time: 1037.945785522461, Train loss: 0.0034053879356384276, Train accuracy: 0.85542, Test loss: 0.00451552831530571, Test accuracy: 0.8178
[Epoch 34] Time: 1068.487755537033, Train loss: 0.0031078814032673837, Train accuracy: 0.87026, Test loss: 0.003890348222851753, Test accuracy: 0.8424
[Epoch 35] Time: 1099.020718574524, Train loss: 0.0033701847529411318, Train accuracy: 0.8618, Test loss: 0.00438862920999527, Test accuracy: 0.822
[Epoch 36] Time: 1129.6315650939941, Train loss: 0.003097371487915516, Train accuracy: 0.8681, Test loss: 0.0038517004549503326, Test accuracy: 0.8378
[Epoch 37] Time: 1160.202675819397, Train loss: 0.0034618270963430405, Train accuracy: 0.85452, Test loss: 0.0042711016744375226, Test accuracy: 0.8283
[Epoch 38] Time: 1190.8266870975494, Train loss: 0.0033286015725135804, Train accuracy: 0.8584, Test loss: 0.004191702771186828, Test accuracy: 0.826
[Epoch 39] Time: 1221.3925743103027, Train loss: 0.0031762799069285394, Train accuracy: 0.8649, Test loss: 0.0037852732241153717, Test accuracy: 0.8393
[Epoch 40] Time: 1252.0007882118225, Train loss: 0.003569455446898937, Train accuracy: 0.85152, Test loss: 0.004316472646594047, Test accuracy: 0.8252
[Epoch 41] Time: 1282.5724034309387, Train loss: 0.0031251179230213167, Train accuracy: 0.86606, Test loss: 0.004224802929162979, Test accuracy: 0.8219
[Epoch 42] Time: 1313.1397705078125, Train loss: 0.003172203629910946, Train accuracy: 0.86918, Test loss: 0.0037233670145273207, Test accuracy: 0.8471
[Epoch 43] Time: 1343.7420902252197, Train loss: 0.0030494591644406317, Train accuracy: 0.872, Test loss: 0.003675725731253624, Test accuracy: 0.8474
[Epoch 44] Time: 1374.3499603271484, Train loss: 0.0034328474953770637, Train accuracy: 0.85826, Test loss: 0.004444147208333016, Test accuracy: 0.8215
[Epoch 45] Time: 1404.92023229599, Train loss: 0.003132253404557705, Train accuracy: 0.86692, Test loss: 0.0037359087198972703, Test accuracy: 0.8351
[Epoch 46] Time: 1435.5505244731903, Train loss: 0.0031029828667640687, Train accuracy: 0.86958, Test loss: 0.0038741034775972368, Test accuracy: 0.8413
[Epoch 47] Time: 1466.157484292984, Train loss: 0.003092438671886921, Train accuracy: 0.86876, Test loss: 0.003920829978585243, Test accuracy: 0.8364
