Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg16/noise_0.2.pth', ngpu=1, noise=0.2)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 35.03890895843506, Train loss: 0.017226461453437807, Train accuracy: 0.158, Test loss: 0.017473214888572692, Test accuracy: 0.1562
[Epoch 1] Time: 66.5178587436676, Train loss: 0.014884431312084199, Train accuracy: 0.25216, Test loss: 0.014971581983566283, Test accuracy: 0.2613
[Epoch 2] Time: 98.08226370811462, Train loss: 0.013415363194942475, Train accuracy: 0.3328, Test loss: 0.013705829429626466, Test accuracy: 0.327
[Epoch 3] Time: 129.84438180923462, Train loss: 0.011441790843009949, Train accuracy: 0.4411, Test loss: 0.012111378359794617, Test accuracy: 0.426
[Epoch 4] Time: 161.5739049911499, Train loss: 0.009333182723522186, Train accuracy: 0.57348, Test loss: 0.010141293668746948, Test accuracy: 0.5356
[Epoch 5] Time: 193.35751342773438, Train loss: 0.008524905322790146, Train accuracy: 0.61568, Test loss: 0.008905734825134277, Test accuracy: 0.607
[Epoch 6] Time: 225.1621448993683, Train loss: 0.007008710762262344, Train accuracy: 0.6913, Test loss: 0.007907561153173447, Test accuracy: 0.6598
[Epoch 7] Time: 256.94608330726624, Train loss: 0.006383298420906067, Train accuracy: 0.72324, Test loss: 0.0071449223995208744, Test accuracy: 0.6976
[Epoch 8] Time: 288.7692573070526, Train loss: 0.005770253619551659, Train accuracy: 0.75262, Test loss: 0.006432023578882218, Test accuracy: 0.7306
[Epoch 9] Time: 320.61639428138733, Train loss: 0.005208061091899872, Train accuracy: 0.77986, Test loss: 0.00579170041680336, Test accuracy: 0.7565
[Epoch 10] Time: 352.43553733825684, Train loss: 0.005405654833316803, Train accuracy: 0.76812, Test loss: 0.006225634604692459, Test accuracy: 0.7383
[Epoch 11] Time: 384.25117111206055, Train loss: 0.005381624429225922, Train accuracy: 0.7749, Test loss: 0.005993684339523316, Test accuracy: 0.7524
[Epoch 12] Time: 416.1128902435303, Train loss: 0.004982332754135132, Train accuracy: 0.79302, Test loss: 0.005883478352427482, Test accuracy: 0.7627
[Epoch 13] Time: 447.93098187446594, Train loss: 0.004672542911171913, Train accuracy: 0.80414, Test loss: 0.005201209539175034, Test accuracy: 0.7895
[Epoch 14] Time: 479.78889894485474, Train loss: 0.0043903675562143325, Train accuracy: 0.81284, Test loss: 0.0052322541236877445, Test accuracy: 0.7803
[Epoch 15] Time: 511.6112265586853, Train loss: 0.004505215290784836, Train accuracy: 0.81288, Test loss: 0.0055352483719587325, Test accuracy: 0.7791
[Epoch 16] Time: 543.4326369762421, Train loss: 0.00461015563428402, Train accuracy: 0.80846, Test loss: 0.005592705589532852, Test accuracy: 0.7681
[Epoch 17] Time: 575.2987296581268, Train loss: 0.004487556684613228, Train accuracy: 0.81346, Test loss: 0.0050371238559484485, Test accuracy: 0.7962
[Epoch 18] Time: 607.156637430191, Train loss: 0.004414457485675812, Train accuracy: 0.81444, Test loss: 0.0051617549747228625, Test accuracy: 0.7885
[Epoch 19] Time: 639.0252442359924, Train loss: 0.004405317071080207, Train accuracy: 0.81466, Test loss: 0.005367496380209923, Test accuracy: 0.789
[Epoch 20] Time: 670.9042100906372, Train loss: 0.004142332320809365, Train accuracy: 0.82612, Test loss: 0.0047446988970041275, Test accuracy: 0.8062
[Epoch 21] Time: 702.772735118866, Train loss: 0.004198674923181534, Train accuracy: 0.822, Test loss: 0.004964416176080704, Test accuracy: 0.7906
[Epoch 22] Time: 734.6326475143433, Train loss: 0.0039061275947093964, Train accuracy: 0.83894, Test loss: 0.004913410651683808, Test accuracy: 0.804
[Epoch 23] Time: 766.477566242218, Train loss: 0.004056195935606957, Train accuracy: 0.82738, Test loss: 0.004847506695985794, Test accuracy: 0.8015
[Epoch 24] Time: 798.3478820323944, Train loss: 0.004182054776549339, Train accuracy: 0.82496, Test loss: 0.005289090704917908, Test accuracy: 0.7846
[Epoch 25] Time: 830.1827037334442, Train loss: 0.003718496593236923, Train accuracy: 0.84808, Test loss: 0.004804936495423317, Test accuracy: 0.8079
[Epoch 26] Time: 862.0616040229797, Train loss: 0.004076110211908817, Train accuracy: 0.83198, Test loss: 0.005046706730127334, Test accuracy: 0.7964
[Epoch 27] Time: 893.8934464454651, Train loss: 0.004120617716312409, Train accuracy: 0.82892, Test loss: 0.005035040964186191, Test accuracy: 0.7905
[Epoch 28] Time: 926.0880329608917, Train loss: 0.004154879764318466, Train accuracy: 0.83058, Test loss: 0.004841161200404167, Test accuracy: 0.8
[Epoch 29] Time: 964.7866775989532, Train loss: 0.0038935277378559113, Train accuracy: 0.83602, Test loss: 0.004718932077288627, Test accuracy: 0.805
[Epoch 30] Time: 1003.5212512016296, Train loss: 0.0038890678638219835, Train accuracy: 0.84222, Test loss: 0.004733852887153625, Test accuracy: 0.8126
[Epoch 31] Time: 1042.3926610946655, Train loss: 0.0038661708396673204, Train accuracy: 0.84162, Test loss: 0.004455992487072944, Test accuracy: 0.8196
[Epoch 32] Time: 1080.922247171402, Train loss: 0.003638049698472023, Train accuracy: 0.84954, Test loss: 0.004373827543854713, Test accuracy: 0.8296
[Epoch 33] Time: 1119.2828950881958, Train loss: 0.003709703233242035, Train accuracy: 0.84576, Test loss: 0.004758398965001106, Test accuracy: 0.8105
[Epoch 34] Time: 1158.0945708751678, Train loss: 0.00397174102127552, Train accuracy: 0.83644, Test loss: 0.004848669493198394, Test accuracy: 0.8058
[Epoch 35] Time: 1197.127123117447, Train loss: 0.0038299067199230193, Train accuracy: 0.8408, Test loss: 0.004560275849699974, Test accuracy: 0.8143
[Epoch 36] Time: 1236.0670173168182, Train loss: 0.0036765171325206757, Train accuracy: 0.84628, Test loss: 0.004515330445766449, Test accuracy: 0.8112
[Epoch 37] Time: 1274.6083960533142, Train loss: 0.003676510829627514, Train accuracy: 0.84274, Test loss: 0.004818667623400688, Test accuracy: 0.8057
[Epoch 38] Time: 1313.27627658844, Train loss: 0.0035388527303934097, Train accuracy: 0.85316, Test loss: 0.004402270078659057, Test accuracy: 0.821
[Epoch 39] Time: 1352.0711340904236, Train loss: 0.0038134818375110627, Train accuracy: 0.83922, Test loss: 0.004567298370599747, Test accuracy: 0.8135
[Epoch 40] Time: 1390.8184463977814, Train loss: 0.0038246917575597765, Train accuracy: 0.84122, Test loss: 0.0046796752870082855, Test accuracy: 0.8141
[Epoch 41] Time: 1429.5324082374573, Train loss: 0.003454823523759842, Train accuracy: 0.85454, Test loss: 0.004180244953930378, Test accuracy: 0.8273
[Epoch 42] Time: 1468.1628732681274, Train loss: 0.003388108961880207, Train accuracy: 0.85998, Test loss: 0.004007144483923912, Test accuracy: 0.8362
