Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg19/noise_0.2.pth', ngpu=1, noise=0.2)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 147.00503253936768, Train loss: 0.01823847638130188, Train accuracy: 0.10812, Test loss: 0.018362230610847474, Test accuracy: 0.1081
[Epoch 1] Time: 298.6152820587158, Train loss: 0.01787282365322113, Train accuracy: 0.1188, Test loss: 0.018052942061424257, Test accuracy: 0.1203
[Epoch 2] Time: 449.87933826446533, Train loss: 0.016016571955680847, Train accuracy: 0.1949, Test loss: 0.0162632310628891, Test accuracy: 0.2024
[Epoch 3] Time: 600.649623632431, Train loss: 0.014627369463443757, Train accuracy: 0.26708, Test loss: 0.014615477299690247, Test accuracy: 0.277
[Epoch 4] Time: 752.3288104534149, Train loss: 0.012573009102344513, Train accuracy: 0.37132, Test loss: 0.01282078206539154, Test accuracy: 0.3619
[Epoch 5] Time: 904.4138660430908, Train loss: 0.010606975989341736, Train accuracy: 0.5007, Test loss: 0.011057014620304107, Test accuracy: 0.4882
[Epoch 6] Time: 1056.4102790355682, Train loss: 0.009356510534286499, Train accuracy: 0.58334, Test loss: 0.00994653241634369, Test accuracy: 0.5594
[Epoch 7] Time: 1208.1829159259796, Train loss: 0.007944251008033752, Train accuracy: 0.64852, Test loss: 0.00859078129529953, Test accuracy: 0.6321
[Epoch 8] Time: 1360.083599805832, Train loss: 0.0071225157475471495, Train accuracy: 0.68888, Test loss: 0.007442596483230591, Test accuracy: 0.6787
[Epoch 9] Time: 1511.6641688346863, Train loss: 0.006821448135375977, Train accuracy: 0.70718, Test loss: 0.007495567697286606, Test accuracy: 0.689
[Epoch 10] Time: 1663.4274516105652, Train loss: 0.006102666417360306, Train accuracy: 0.7444, Test loss: 0.006751238423585892, Test accuracy: 0.7198
[Epoch 11] Time: 1814.4721958637238, Train loss: 0.005682521195411682, Train accuracy: 0.76058, Test loss: 0.006708970737457276, Test accuracy: 0.7229
[Epoch 12] Time: 1966.421993970871, Train loss: 0.006015958346128464, Train accuracy: 0.74736, Test loss: 0.006868582218885422, Test accuracy: 0.7179
[Epoch 13] Time: 2118.3290691375732, Train loss: 0.005639237142801285, Train accuracy: 0.76868, Test loss: 0.00659296994805336, Test accuracy: 0.739
[Epoch 14] Time: 2270.0783684253693, Train loss: 0.0056093689507246015, Train accuracy: 0.76824, Test loss: 0.006160473001003266, Test accuracy: 0.7533
[Epoch 15] Time: 2421.920559644699, Train loss: 0.005601466898322105, Train accuracy: 0.76804, Test loss: 0.006580104839801789, Test accuracy: 0.7358
[Epoch 16] Time: 2573.607949256897, Train loss: 0.005033107218146324, Train accuracy: 0.79198, Test loss: 0.005644315239787102, Test accuracy: 0.7678
[Epoch 17] Time: 2725.056526660919, Train loss: 0.004827314829826355, Train accuracy: 0.80302, Test loss: 0.00594946026802063, Test accuracy: 0.7644
[Epoch 18] Time: 2876.665063381195, Train loss: 0.005136396407485008, Train accuracy: 0.78964, Test loss: 0.005717313343286515, Test accuracy: 0.7645
[Epoch 19] Time: 3028.4731001853943, Train loss: 0.004754071105718613, Train accuracy: 0.80152, Test loss: 0.005437378522753716, Test accuracy: 0.7685
[Epoch 20] Time: 3180.174473762512, Train loss: 0.0045535427975654606, Train accuracy: 0.81152, Test loss: 0.005303876876831055, Test accuracy: 0.7835
[Epoch 21] Time: 3331.3079414367676, Train loss: 0.00457390242099762, Train accuracy: 0.81212, Test loss: 0.0053477178126573564, Test accuracy: 0.7848
[Epoch 22] Time: 3483.4333806037903, Train loss: 0.00469955695450306, Train accuracy: 0.80936, Test loss: 0.0056466619312763216, Test accuracy: 0.7771
[Epoch 23] Time: 3632.866257429123, Train loss: 0.004380803882479667, Train accuracy: 0.82358, Test loss: 0.00522250305712223, Test accuracy: 0.7919
[Epoch 24] Time: 3785.0883481502533, Train loss: 0.004300697989463806, Train accuracy: 0.82362, Test loss: 0.005158231589198112, Test accuracy: 0.7927
[Epoch 25] Time: 3937.2176694869995, Train loss: 0.004496142050027847, Train accuracy: 0.815, Test loss: 0.005408147346973419, Test accuracy: 0.7816
[Epoch 26] Time: 4089.008001089096, Train loss: 0.004531854860782623, Train accuracy: 0.81218, Test loss: 0.0055929068326950075, Test accuracy: 0.7709
[Epoch 27] Time: 4240.569256544113, Train loss: 0.004549468816518783, Train accuracy: 0.81368, Test loss: 0.0057948822349309925, Test accuracy: 0.7686
[Epoch 28] Time: 4392.1566751003265, Train loss: 0.004770298926830291, Train accuracy: 0.80562, Test loss: 0.0052567438662052155, Test accuracy: 0.7949
[Epoch 29] Time: 4543.896503448486, Train loss: 0.004203237475156784, Train accuracy: 0.8286, Test loss: 0.005008469346165657, Test accuracy: 0.7969
[Epoch 0] Time: 152.8626310825348, Train loss: 0.002655117184817791, Train accuracy: 0.89176, Test loss: 0.0037144919335842133, Test accuracy: 0.8571
[Epoch 1] Time: 305.433833360672, Train loss: 0.002480837861597538, Train accuracy: 0.89772, Test loss: 0.0036883378356695174, Test accuracy: 0.8522
[Epoch 2] Time: 457.9265444278717, Train loss: 0.0024425082710385322, Train accuracy: 0.89702, Test loss: 0.00352983096241951, Test accuracy: 0.8521
