Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg19/noise_0.5.pth', ngpu=1, noise=0.5)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 201.03698825836182, Train loss: 0.01972812523841858, Train accuracy: 0.10986, Test loss: 0.02002477641105652, Test accuracy: 0.1114
[Epoch 1] Time: 397.29331612586975, Train loss: 0.01715283203840256, Train accuracy: 0.20786, Test loss: 0.017241337978839873, Test accuracy: 0.213
[Epoch 2] Time: 592.3479263782501, Train loss: 0.015922830040454864, Train accuracy: 0.26492, Test loss: 0.016122282433509827, Test accuracy: 0.2544
[Epoch 3] Time: 785.282968044281, Train loss: 0.013683545904159546, Train accuracy: 0.35818, Test loss: 0.01440219739675522, Test accuracy: 0.3329
[Epoch 4] Time: 977.9373824596405, Train loss: 0.012173186781406402, Train accuracy: 0.46142, Test loss: 0.012996834540367127, Test accuracy: 0.4344
[Epoch 5] Time: 1173.9603323936462, Train loss: 0.010319076759815216, Train accuracy: 0.55432, Test loss: 0.01099721441268921, Test accuracy: 0.5405
[Epoch 6] Time: 1373.3934025764465, Train loss: 0.008705513480901718, Train accuracy: 0.63414, Test loss: 0.009625765150785446, Test accuracy: 0.5989
[Epoch 7] Time: 1575.752213716507, Train loss: 0.008349967796802521, Train accuracy: 0.6592, Test loss: 0.01001256497502327, Test accuracy: 0.6094
[Epoch 8] Time: 1778.7135729789734, Train loss: 0.007436143885850907, Train accuracy: 0.69772, Test loss: 0.008252972954511642, Test accuracy: 0.6789
[Epoch 9] Time: 1981.3923163414001, Train loss: 0.007392215657234192, Train accuracy: 0.7031, Test loss: 0.008401218473911285, Test accuracy: 0.67
[Epoch 10] Time: 2184.263463973999, Train loss: 0.006634254225492477, Train accuracy: 0.74138, Test loss: 0.007639093923568725, Test accuracy: 0.7148
[Epoch 11] Time: 2385.601539850235, Train loss: 0.006755575790405273, Train accuracy: 0.744, Test loss: 0.007552073240280151, Test accuracy: 0.717
[Epoch 12] Time: 2585.429207086563, Train loss: 0.006135913405418396, Train accuracy: 0.75984, Test loss: 0.006857484203577042, Test accuracy: 0.736
[Epoch 13] Time: 2782.9923055171967, Train loss: 0.006530106041431427, Train accuracy: 0.74522, Test loss: 0.007290970677137375, Test accuracy: 0.7236
[Epoch 14] Time: 2978.1347489356995, Train loss: 0.005457320103645325, Train accuracy: 0.78846, Test loss: 0.006058511513471604, Test accuracy: 0.7663
[Epoch 15] Time: 3171.406398296356, Train loss: 0.005330558525323868, Train accuracy: 0.78374, Test loss: 0.006032583570480346, Test accuracy: 0.7679
[Epoch 16] Time: 3364.249076604843, Train loss: 0.005519474664926529, Train accuracy: 0.78332, Test loss: 0.007215918385982513, Test accuracy: 0.7294
[Epoch 17] Time: 3559.3674738407135, Train loss: 0.005485233607292176, Train accuracy: 0.79782, Test loss: 0.006594196498394013, Test accuracy: 0.762
[Epoch 18] Time: 3757.773987054825, Train loss: 0.004918804606795311, Train accuracy: 0.80464, Test loss: 0.0060302248805761335, Test accuracy: 0.7691
[Epoch 19] Time: 3959.5296623706818, Train loss: 0.005517018590569496, Train accuracy: 0.78238, Test loss: 0.006831468379497528, Test accuracy: 0.7414
[Epoch 20] Time: 4162.29133605957, Train loss: 0.00552754040658474, Train accuracy: 0.79048, Test loss: 0.00634233877658844, Test accuracy: 0.765
[Epoch 21] Time: 4365.258489370346, Train loss: 0.004943710848093033, Train accuracy: 0.81278, Test loss: 0.005706374835968017, Test accuracy: 0.7934
[Epoch 22] Time: 4568.47011256218, Train loss: 0.0057917233908176425, Train accuracy: 0.7764, Test loss: 0.006685349118709564, Test accuracy: 0.7549
[Epoch 23] Time: 4770.340433359146, Train loss: 0.004769432911872863, Train accuracy: 0.81682, Test loss: 0.005754393026232719, Test accuracy: 0.7819
[Epoch 24] Time: 4970.852910041809, Train loss: 0.004808248748183251, Train accuracy: 0.81446, Test loss: 0.0056541019916534424, Test accuracy: 0.7887
[Epoch 25] Time: 5169.008151769638, Train loss: 0.004936306121945381, Train accuracy: 0.81072, Test loss: 0.005612244582176209, Test accuracy: 0.7959
[Epoch 26] Time: 5364.722785711288, Train loss: 0.005228867740631103, Train accuracy: 0.79896, Test loss: 0.006331471985578537, Test accuracy: 0.7654
[Epoch 27] Time: 5558.99410700798, Train loss: 0.005186818739175796, Train accuracy: 0.79918, Test loss: 0.006207836085557938, Test accuracy: 0.7692
[Epoch 28] Time: 5752.374880552292, Train loss: 0.004968622595071793, Train accuracy: 0.8079, Test loss: 0.005805949309468269, Test accuracy: 0.7858
[Epoch 29] Time: 5946.881957292557, Train loss: 0.0045063750636577605, Train accuracy: 0.8231, Test loss: 0.005229557248950005, Test accuracy: 0.7972
[Epoch 0] Time: 196.83363914489746, Train loss: 0.002334277143627405, Train accuracy: 0.9077, Test loss: 0.003411428001523018, Test accuracy: 0.8684
[Epoch 1] Time: 396.5007755756378, Train loss: 0.002014480849951506, Train accuracy: 0.91814, Test loss: 0.0032150929525494574, Test accuracy: 0.8766
[Epoch 2] Time: 598.1586034297943, Train loss: 0.0019167381864786147, Train accuracy: 0.92092, Test loss: 0.003082653996348381, Test accuracy: 0.8777
[Epoch 3] Time: 801.2696733474731, Train loss: 0.0017824800074100495, Train accuracy: 0.92632, Test loss: 0.003399904701113701, Test accuracy: 0.8727
[Epoch 4] Time: 1004.2016229629517, Train loss: 0.001626940099745989, Train accuracy: 0.93352, Test loss: 0.0031577607199549675, Test accuracy: 0.8822
[Epoch 5] Time: 1206.392728805542, Train loss: 0.0015265344002842903, Train accuracy: 0.93704, Test loss: 0.0032752535566687585, Test accuracy: 0.8787
[Epoch 6] Time: 1407.1011657714844, Train loss: 0.0015035595320165157, Train accuracy: 0.93936, Test loss: 0.003067645041644573, Test accuracy: 0.8827
[Epoch 7] Time: 1605.5976388454437, Train loss: 0.0015585309612751008, Train accuracy: 0.93624, Test loss: 0.0031769616544246675, Test accuracy: 0.8836
[Epoch 8] Time: 1801.4161415100098, Train loss: 0.0013773290660977363, Train accuracy: 0.94518, Test loss: 0.0032187798485159872, Test accuracy: 0.8815
[Epoch 9] Time: 1996.4063653945923, Train loss: 0.001511644143164158, Train accuracy: 0.93906, Test loss: 0.0034932146728038787, Test accuracy: 0.8719
[Epoch 10] Time: 2190.148920059204, Train loss: 0.001549563667178154, Train accuracy: 0.9361, Test loss: 0.003477652695775032, Test accuracy: 0.8685
[Epoch 11] Time: 2385.4746305942535, Train loss: 0.0014347135576605796, Train accuracy: 0.93942, Test loss: 0.003420362488925457, Test accuracy: 0.8691
[Epoch 12] Time: 2581.6204850673676, Train loss: 0.0014969568413496018, Train accuracy: 0.93646, Test loss: 0.003548676247894764, Test accuracy: 0.875
[Epoch 13] Time: 2781.19801902771, Train loss: 0.0014686258839815855, Train accuracy: 0.93948, Test loss: 0.003320704856514931, Test accuracy: 0.8782
[Epoch 14] Time: 2982.3252444267273, Train loss: 0.0014983615835011004, Train accuracy: 0.9373, Test loss: 0.0036864463835954665, Test accuracy: 0.8698
[Epoch 15] Time: 3185.298481464386, Train loss: 0.001494272169098258, Train accuracy: 0.93832, Test loss: 0.0036769933089613916, Test accuracy: 0.87
[Epoch 16] Time: 3387.9546990394592, Train loss: 0.0014228422898799181, Train accuracy: 0.94066, Test loss: 0.0034196379095315934, Test accuracy: 0.8754
[Epoch 17] Time: 3590.5159270763397, Train loss: 0.0012847652443498372, Train accuracy: 0.94768, Test loss: 0.003327404275536537, Test accuracy: 0.8781
[Epoch 18] Time: 3791.086143732071, Train loss: 0.001544517955183983, Train accuracy: 0.93544, Test loss: 0.0038659560427069663, Test accuracy: 0.8635
[Epoch 19] Time: 3989.3487737178802, Train loss: 0.0013164826969057322, Train accuracy: 0.94544, Test loss: 0.003140395514667034, Test accuracy: 0.8834
[Epoch 20] Time: 4184.998317956924, Train loss: 0.0014674039625376463, Train accuracy: 0.93826, Test loss: 0.0035536797463893892, Test accuracy: 0.8702
[Epoch 21] Time: 4380.208671092987, Train loss: 0.001328596667200327, Train accuracy: 0.94494, Test loss: 0.003213710306584835, Test accuracy: 0.8808
[Epoch 22] Time: 4574.518303871155, Train loss: 0.001432464335411787, Train accuracy: 0.94074, Test loss: 0.0034974879086017607, Test accuracy: 0.8732
[Epoch 23] Time: 4770.55771446228, Train loss: 0.0012724818254262209, Train accuracy: 0.94572, Test loss: 0.0031248485043644907, Test accuracy: 0.8821
[Epoch 24] Time: 4966.947065830231, Train loss: 0.0014042771714925766, Train accuracy: 0.94094, Test loss: 0.0034497493892908094, Test accuracy: 0.8741
[Epoch 25] Time: 5165.867226839066, Train loss: 0.0013503670416772366, Train accuracy: 0.94446, Test loss: 0.0033655061081051827, Test accuracy: 0.8746
[Epoch 26] Time: 5366.25802731514, Train loss: 0.0012369598260521888, Train accuracy: 0.95066, Test loss: 0.003392754778265953, Test accuracy: 0.8795
[Epoch 27] Time: 5568.694875001907, Train loss: 0.0012541689101606608, Train accuracy: 0.9488, Test loss: 0.0031104308649897577, Test accuracy: 0.8803
[Epoch 28] Time: 5771.367547750473, Train loss: 0.0012877888704836368, Train accuracy: 0.9471, Test loss: 0.003383003984391689, Test accuracy: 0.8791
[Epoch 29] Time: 5973.463059425354, Train loss: 0.0015022490790486335, Train accuracy: 0.9379, Test loss: 0.003449975021183491, Test accuracy: 0.8684
[Epoch 0] Time: 200.911762714386, Train loss: 0.0005014854143932461, Train accuracy: 0.97932, Test loss: 0.002761951952427626, Test accuracy: 0.9023
[Epoch 1] Time: 399.20245242118835, Train loss: 0.00038683975905179975, Train accuracy: 0.98454, Test loss: 0.0028416379541158676, Test accuracy: 0.906
[Epoch 2] Time: 594.3971288204193, Train loss: 0.00035852791178971527, Train accuracy: 0.98536, Test loss: 0.0029085458740592002, Test accuracy: 0.9016
[Epoch 3] Time: 789.2497153282166, Train loss: 0.00029754184011369944, Train accuracy: 0.98872, Test loss: 0.0029563796162605286, Test accuracy: 0.904
[Epoch 4] Time: 984.3668284416199, Train loss: 0.0002748722268640995, Train accuracy: 0.98922, Test loss: 0.0029766399905085564, Test accuracy: 0.9065
[Epoch 5] Time: 1181.0337543487549, Train loss: 0.00028496354967355727, Train accuracy: 0.98912, Test loss: 0.0032656392946839334, Test accuracy: 0.9046
[Epoch 6] Time: 1378.0513310432434, Train loss: 0.00023620722994208336, Train accuracy: 0.99016, Test loss: 0.0031345181673765182, Test accuracy: 0.9063
[Epoch 7] Time: 1575.9715280532837, Train loss: 0.00023643363729119302, Train accuracy: 0.99062, Test loss: 0.0031881755590438842, Test accuracy: 0.9054
[Epoch 8] Time: 1775.6206753253937, Train loss: 0.00021558797381818293, Train accuracy: 0.9917, Test loss: 0.0031506627693772314, Test accuracy: 0.9073
[Epoch 9] Time: 1977.0594336986542, Train loss: 0.00020981488121673465, Train accuracy: 0.99128, Test loss: 0.0032339680060744285, Test accuracy: 0.9061
[Epoch 10] Time: 2179.5380775928497, Train loss: 0.0001833098847232759, Train accuracy: 0.9923, Test loss: 0.0032576788976788522, Test accuracy: 0.9055
[Epoch 11] Time: 2382.0971591472626, Train loss: 0.00017637121045961977, Train accuracy: 0.99266, Test loss: 0.003234150190651417, Test accuracy: 0.9098
[Epoch 12] Time: 2583.005769252777, Train loss: 0.000177487570643425, Train accuracy: 0.99358, Test loss: 0.003191655157506466, Test accuracy: 0.9085
[Epoch 13] Time: 2781.1375744342804, Train loss: 0.00019065485485829413, Train accuracy: 0.99286, Test loss: 0.00330399269759655, Test accuracy: 0.9053
[Epoch 14] Time: 2976.296343564987, Train loss: 0.00017422822274267675, Train accuracy: 0.99236, Test loss: 0.003408057740330696, Test accuracy: 0.9051
[Epoch 15] Time: 3171.0965297222137, Train loss: 0.00020632567145861686, Train accuracy: 0.9916, Test loss: 0.0036042970180511476, Test accuracy: 0.9036
