Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg19/noise_0.7.pth', ngpu=1, noise=0.7)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 199.5974636077881, Train loss: 0.021456285638809205, Train accuracy: 0.1408, Test loss: 0.02172705578804016, Test accuracy: 0.1414
[Epoch 1] Time: 397.8983938694, Train loss: 0.019117066469192506, Train accuracy: 0.21794, Test loss: 0.019299462747573853, Test accuracy: 0.2226
[Epoch 2] Time: 597.1566872596741, Train loss: 0.017492304775714874, Train accuracy: 0.28478, Test loss: 0.018354599201679228, Test accuracy: 0.2789
[Epoch 3] Time: 797.0586993694305, Train loss: 0.015315748047828674, Train accuracy: 0.3751, Test loss: 0.015885175240039826, Test accuracy: 0.3702
[Epoch 4] Time: 997.0715188980103, Train loss: 0.014343996014595031, Train accuracy: 0.45248, Test loss: 0.015206983256340028, Test accuracy: 0.4421
[Epoch 5] Time: 1198.4622597694397, Train loss: 0.012217709290981293, Train accuracy: 0.53818, Test loss: 0.013101845705509187, Test accuracy: 0.5239
[Epoch 6] Time: 1399.2953851222992, Train loss: 0.010966553013324738, Train accuracy: 0.59084, Test loss: 0.011426496529579163, Test accuracy: 0.5697
[Epoch 7] Time: 1599.494525194168, Train loss: 0.00976908051609993, Train accuracy: 0.63624, Test loss: 0.010277881270647049, Test accuracy: 0.6305
[Epoch 8] Time: 1797.9432861804962, Train loss: 0.009274511190652847, Train accuracy: 0.65658, Test loss: 0.010053120374679566, Test accuracy: 0.6423
[Epoch 9] Time: 1995.4395864009857, Train loss: 0.008562379705905914, Train accuracy: 0.69668, Test loss: 0.009188829797506333, Test accuracy: 0.6792
[Epoch 10] Time: 2192.3947257995605, Train loss: 0.008242895025014877, Train accuracy: 0.70338, Test loss: 0.009506617283821106, Test accuracy: 0.6693
[Epoch 11] Time: 2387.618724346161, Train loss: 0.0078481061065197, Train accuracy: 0.71544, Test loss: 0.00818869377374649, Test accuracy: 0.7043
[Epoch 12] Time: 2584.6394839286804, Train loss: 0.00759961883187294, Train accuracy: 0.7311, Test loss: 0.008512552750110626, Test accuracy: 0.7008
[Epoch 13] Time: 2782.379784345627, Train loss: 0.007717093749046325, Train accuracy: 0.71922, Test loss: 0.008663131827116012, Test accuracy: 0.6932
[Epoch 14] Time: 2981.8954973220825, Train loss: 0.007649570882320404, Train accuracy: 0.726, Test loss: 0.008470572876930238, Test accuracy: 0.704
[Epoch 15] Time: 3181.2146656513214, Train loss: 0.006791927342414856, Train accuracy: 0.75504, Test loss: 0.007639213564991951, Test accuracy: 0.732
[Epoch 16] Time: 3381.237799167633, Train loss: 0.006871353190541267, Train accuracy: 0.75776, Test loss: 0.008276446443796158, Test accuracy: 0.7254
[Epoch 17] Time: 3581.887812614441, Train loss: 0.006727502509355545, Train accuracy: 0.76432, Test loss: 0.007644662588834762, Test accuracy: 0.7378
[Epoch 18] Time: 3782.7750227451324, Train loss: 0.006757890856862068, Train accuracy: 0.76284, Test loss: 0.007461386889219284, Test accuracy: 0.7467
[Epoch 19] Time: 3983.5441224575043, Train loss: 0.006565373804569245, Train accuracy: 0.76308, Test loss: 0.007335332536697388, Test accuracy: 0.742
[Epoch 20] Time: 4183.640657424927, Train loss: 0.006258946583271027, Train accuracy: 0.78116, Test loss: 0.007378122782707214, Test accuracy: 0.7537
[Epoch 21] Time: 4382.212443590164, Train loss: 0.006120927680134773, Train accuracy: 0.77966, Test loss: 0.007292986607551575, Test accuracy: 0.7557
[Epoch 22] Time: 4578.518760204315, Train loss: 0.0066737632942199705, Train accuracy: 0.75288, Test loss: 0.007399164825677871, Test accuracy: 0.7349
[Epoch 23] Time: 4774.324767112732, Train loss: 0.005889573901891708, Train accuracy: 0.7857, Test loss: 0.007002826637029648, Test accuracy: 0.7618
[Epoch 24] Time: 4969.859292507172, Train loss: 0.0060379841309785845, Train accuracy: 0.7806, Test loss: 0.007260659122467041, Test accuracy: 0.7476
[Epoch 25] Time: 5166.168250083923, Train loss: 0.006107385637164116, Train accuracy: 0.78698, Test loss: 0.0072383742272853855, Test accuracy: 0.7585
[Epoch 26] Time: 5364.664407253265, Train loss: 0.006114859274625778, Train accuracy: 0.77906, Test loss: 0.006856919676065445, Test accuracy: 0.7621
[Epoch 27] Time: 5564.634685516357, Train loss: 0.0061802065968513484, Train accuracy: 0.79088, Test loss: 0.006956929767131806, Test accuracy: 0.7673
[Epoch 28] Time: 5766.019087791443, Train loss: 0.005755303989648819, Train accuracy: 0.8029, Test loss: 0.006579092252254486, Test accuracy: 0.7784
[Epoch 29] Time: 5966.303996086121, Train loss: 0.0060751565957069395, Train accuracy: 0.78674, Test loss: 0.00668401505947113, Test accuracy: 0.7721
[Epoch 0] Time: 200.21824598312378, Train loss: 0.0026973302415013315, Train accuracy: 0.89266, Test loss: 0.003923917463421822, Test accuracy: 0.8568
[Epoch 1] Time: 401.06488943099976, Train loss: 0.002386158971041441, Train accuracy: 0.90614, Test loss: 0.0035023310735821725, Test accuracy: 0.865
[Epoch 2] Time: 602.0401194095612, Train loss: 0.0021602625153958797, Train accuracy: 0.91484, Test loss: 0.0033206749871373177, Test accuracy: 0.8714
[Epoch 3] Time: 801.3480792045593, Train loss: 0.0019299686589837075, Train accuracy: 0.9222, Test loss: 0.0034039811551570894, Test accuracy: 0.8737
[Epoch 4] Time: 998.9893612861633, Train loss: 0.0018534885780513287, Train accuracy: 0.9252, Test loss: 0.003334516203403473, Test accuracy: 0.8721
[Epoch 5] Time: 1195.1009984016418, Train loss: 0.0017689526981115341, Train accuracy: 0.92878, Test loss: 0.003347839872539043, Test accuracy: 0.8734
[Epoch 6] Time: 1391.1130781173706, Train loss: 0.001702790944725275, Train accuracy: 0.93064, Test loss: 0.00331279316842556, Test accuracy: 0.8751
[Epoch 7] Time: 1587.3171272277832, Train loss: 0.001741566086858511, Train accuracy: 0.92902, Test loss: 0.003394766440987587, Test accuracy: 0.872
[Epoch 8] Time: 1785.0517075061798, Train loss: 0.0016238550083339214, Train accuracy: 0.93462, Test loss: 0.0035400772839784623, Test accuracy: 0.8682
[Epoch 9] Time: 1984.713634967804, Train loss: 0.0015838669911026955, Train accuracy: 0.93558, Test loss: 0.00350778127014637, Test accuracy: 0.8733
[Epoch 10] Time: 2185.1801722049713, Train loss: 0.0016270960175991057, Train accuracy: 0.93322, Test loss: 0.003346005085110664, Test accuracy: 0.8737
[Epoch 11] Time: 2386.0923273563385, Train loss: 0.0015294514963030816, Train accuracy: 0.93828, Test loss: 0.0032918486565351487, Test accuracy: 0.8762
[Epoch 12] Time: 2587.252201795578, Train loss: 0.001728714031279087, Train accuracy: 0.92824, Test loss: 0.003646922816336155, Test accuracy: 0.8686
[Epoch 13] Time: 2788.718880176544, Train loss: 0.00174803985722363, Train accuracy: 0.9302, Test loss: 0.003790631228685379, Test accuracy: 0.8663
[Epoch 14] Time: 2989.1593396663666, Train loss: 0.0017230671612918377, Train accuracy: 0.93046, Test loss: 0.003719996467232704, Test accuracy: 0.869
[Epoch 15] Time: 3190.477781057358, Train loss: 0.0017502333869040012, Train accuracy: 0.92892, Test loss: 0.003732598462700844, Test accuracy: 0.8674
[Epoch 16] Time: 3389.360803127289, Train loss: 0.0015601841098070144, Train accuracy: 0.93624, Test loss: 0.003607835638523102, Test accuracy: 0.8675
[Epoch 17] Time: 3586.741053342819, Train loss: 0.0014883712439984083, Train accuracy: 0.93992, Test loss: 0.003339570678770542, Test accuracy: 0.8754
[Epoch 18] Time: 3783.165780067444, Train loss: 0.0016901769264042377, Train accuracy: 0.9325, Test loss: 0.003596287763118744, Test accuracy: 0.8703
[Epoch 19] Time: 3979.9175629615784, Train loss: 0.0016303811340779065, Train accuracy: 0.93332, Test loss: 0.003492792847752571, Test accuracy: 0.8727
[Epoch 20] Time: 4178.135116577148, Train loss: 0.001649325415790081, Train accuracy: 0.933, Test loss: 0.003937799826264381, Test accuracy: 0.8632
[Epoch 21] Time: 4378.190097093582, Train loss: 0.001517351476997137, Train accuracy: 0.937, Test loss: 0.003592611475288868, Test accuracy: 0.8725
[Epoch 22] Time: 4578.823838710785, Train loss: 0.0015201996299624443, Train accuracy: 0.9388, Test loss: 0.003500744467973709, Test accuracy: 0.8776
[Epoch 23] Time: 4779.257140636444, Train loss: 0.0016055982781946658, Train accuracy: 0.93348, Test loss: 0.0038594087824225425, Test accuracy: 0.8611
[Epoch 24] Time: 4980.514350414276, Train loss: 0.0016504856434464454, Train accuracy: 0.93508, Test loss: 0.0036351228922605516, Test accuracy: 0.8719
[Epoch 25] Time: 5182.560554265976, Train loss: 0.0015459416281431914, Train accuracy: 0.93506, Test loss: 0.003388753664493561, Test accuracy: 0.8721
[Epoch 26] Time: 5383.676802158356, Train loss: 0.0015595178799331188, Train accuracy: 0.9371, Test loss: 0.003431098636984825, Test accuracy: 0.8745
[Epoch 27] Time: 5584.036781311035, Train loss: 0.0014041494745016098, Train accuracy: 0.94424, Test loss: 0.0032796571150422098, Test accuracy: 0.8786
[Epoch 28] Time: 5783.017746210098, Train loss: 0.0013361353968083859, Train accuracy: 0.94608, Test loss: 0.0033066488727927206, Test accuracy: 0.8792
[Epoch 29] Time: 5982.219575405121, Train loss: 0.0013722458891570568, Train accuracy: 0.9469, Test loss: 0.003482622253894806, Test accuracy: 0.8719
[Epoch 0] Time: 196.89623355865479, Train loss: 0.0006122276632487774, Train accuracy: 0.97498, Test loss: 0.002853431496024132, Test accuracy: 0.8979
[Epoch 1] Time: 392.75606513023376, Train loss: 0.000501837203502655, Train accuracy: 0.98026, Test loss: 0.002849123051762581, Test accuracy: 0.905
[Epoch 2] Time: 589.9509789943695, Train loss: 0.00042707475796341897, Train accuracy: 0.98254, Test loss: 0.0028895313531160354, Test accuracy: 0.9058
[Epoch 3] Time: 788.2094931602478, Train loss: 0.0003986624255031347, Train accuracy: 0.9837, Test loss: 0.0030228333353996277, Test accuracy: 0.9041
[Epoch 4] Time: 988.3435373306274, Train loss: 0.00035012755651026966, Train accuracy: 0.9859, Test loss: 0.0029519649058580397, Test accuracy: 0.9063
[Epoch 5] Time: 1188.534057378769, Train loss: 0.00031804514326155185, Train accuracy: 0.98712, Test loss: 0.003339933483302593, Test accuracy: 0.9054
[Epoch 6] Time: 1388.6794488430023, Train loss: 0.0003274915841687471, Train accuracy: 0.9869, Test loss: 0.003223262897133827, Test accuracy: 0.9064
[Epoch 7] Time: 1589.1786589622498, Train loss: 0.00030491980437189343, Train accuracy: 0.98826, Test loss: 0.0031463430143892765, Test accuracy: 0.9039
[Epoch 8] Time: 1790.1434562206268, Train loss: 0.0002610980806872249, Train accuracy: 0.98906, Test loss: 0.00324160148948431, Test accuracy: 0.9038
[Epoch 9] Time: 1990.7403740882874, Train loss: 0.00026677761621773244, Train accuracy: 0.99018, Test loss: 0.0032458692073822023, Test accuracy: 0.9036
[Epoch 10] Time: 2190.5861492156982, Train loss: 0.00026473153315484523, Train accuracy: 0.99008, Test loss: 0.003281523214280605, Test accuracy: 0.9068
[Epoch 11] Time: 2388.944666862488, Train loss: 0.0002532062552589923, Train accuracy: 0.98872, Test loss: 0.003408500860631466, Test accuracy: 0.9073
[Epoch 12] Time: 2585.866540670395, Train loss: 0.00029378953291103244, Train accuracy: 0.9878, Test loss: 0.0035674290776252747, Test accuracy: 0.9027
[Epoch 13] Time: 2780.8564875125885, Train loss: 0.00024241622883826495, Train accuracy: 0.99076, Test loss: 0.0034724393248558045, Test accuracy: 0.9049
[Epoch 14] Time: 2977.9424040317535, Train loss: 0.0002200709865242243, Train accuracy: 0.9911, Test loss: 0.0034503821030259134, Test accuracy: 0.9037
[Epoch 15] Time: 3175.4694447517395, Train loss: 0.00023732217200100422, Train accuracy: 0.99, Test loss: 0.0036441975846886634, Test accuracy: 0.9012
[Epoch 16] Time: 3374.6333515644073, Train loss: 0.00025982070196419957, Train accuracy: 0.98952, Test loss: 0.003479239194095135, Test accuracy: 0.9028
[Epoch 17] Time: 3574.6593356132507, Train loss: 0.00019956008806824683, Train accuracy: 0.99202, Test loss: 0.003601741875708103, Test accuracy: 0.9056
[Epoch 18] Time: 3775.666184425354, Train loss: 0.00025932215763255955, Train accuracy: 0.9893, Test loss: 0.003719726197421551, Test accuracy: 0.9014
[Epoch 19] Time: 3977.695190668106, Train loss: 0.00024046493846923114, Train accuracy: 0.99036, Test loss: 0.0034938658460974695, Test accuracy: 0.9047
[Epoch 20] Time: 4178.43559384346, Train loss: 0.00020164587520062923, Train accuracy: 0.99154, Test loss: 0.003516848424077034, Test accuracy: 0.9016
[Epoch 21] Time: 4379.226972103119, Train loss: 0.00022958339791744948, Train accuracy: 0.9913, Test loss: 0.0034265211462974547, Test accuracy: 0.9073
[Epoch 22] Time: 4579.245007276535, Train loss: 0.0002123777447640896, Train accuracy: 0.99174, Test loss: 0.003757519057393074, Test accuracy: 0.9017
[Epoch 23] Time: 4778.357469797134, Train loss: 0.00021832081075757743, Train accuracy: 0.99198, Test loss: 0.003835682889819145, Test accuracy: 0.8993
[Epoch 24] Time: 4975.9077916145325, Train loss: 0.0002325645138695836, Train accuracy: 0.99156, Test loss: 0.0035777516543865203, Test accuracy: 0.9041
[Epoch 25] Time: 5172.727866411209, Train loss: 0.00024681700747460127, Train accuracy: 0.99068, Test loss: 0.003848397395014763, Test accuracy: 0.898
[Epoch 26] Time: 5368.33420085907, Train loss: 0.0002029756814800203, Train accuracy: 0.99122, Test loss: 0.0036513236880302427, Test accuracy: 0.9003
[Epoch 27] Time: 5565.937967777252, Train loss: 0.0002441731897741556, Train accuracy: 0.9912, Test loss: 0.0036641663774847986, Test accuracy: 0.9005
[Epoch 28] Time: 5765.144206762314, Train loss: 0.00021979818388819693, Train accuracy: 0.99092, Test loss: 0.0034497199639678, Test accuracy: 0.8996
[Epoch 29] Time: 5965.147867679596, Train loss: 0.0002675702601671219, Train accuracy: 0.98892, Test loss: 0.0035713306561112406, Test accuracy: 0.9019
[Epoch 0] Time: 200.72446012496948, Train loss: 0.00010637366283684969, Train accuracy: 0.99614, Test loss: 0.0032394123062491416, Test accuracy: 0.9068
[Epoch 1] Time: 401.36049723625183, Train loss: 8.703407070133835e-05, Train accuracy: 0.99718, Test loss: 0.003214012338221073, Test accuracy: 0.9129
[Epoch 2] Time: 601.7358293533325, Train loss: 7.933687522076071e-05, Train accuracy: 0.99714, Test loss: 0.003287109635770321, Test accuracy: 0.9109
[Epoch 3] Time: 801.5081398487091, Train loss: 7.838752035051584e-05, Train accuracy: 0.99736, Test loss: 0.0033486486047506333, Test accuracy: 0.9132
[Epoch 4] Time: 1002.0874769687653, Train loss: 6.596798222512007e-05, Train accuracy: 0.99764, Test loss: 0.003446709729731083, Test accuracy: 0.9121
[Epoch 5] Time: 1201.4575746059418, Train loss: 6.317979775369168e-05, Train accuracy: 0.99774, Test loss: 0.0033493629604578017, Test accuracy: 0.9105
[Epoch 6] Time: 1399.2757501602173, Train loss: 6.098877281416208e-05, Train accuracy: 0.99794, Test loss: 0.0034060063302516937, Test accuracy: 0.9102
[Epoch 7] Time: 1594.6292459964752, Train loss: 5.671215200331062e-05, Train accuracy: 0.99758, Test loss: 0.0033842355825006963, Test accuracy: 0.9106
[Epoch 8] Time: 1791.0416185855865, Train loss: 5.914960188791156e-05, Train accuracy: 0.99846, Test loss: 0.003447221964597702, Test accuracy: 0.9125
[Epoch 9] Time: 1972.2117669582367, Train loss: 5.6957664936780926e-05, Train accuracy: 0.99814, Test loss: 0.0034983542636036874, Test accuracy: 0.9102
[Epoch 10] Time: 2120.991681098938, Train loss: 4.832378390710801e-05, Train accuracy: 0.99834, Test loss: 0.00366843109279871, Test accuracy: 0.9109
[Epoch 11] Time: 2271.619230747223, Train loss: 4.830471322871744e-05, Train accuracy: 0.99838, Test loss: 0.0035489914909005165, Test accuracy: 0.9108
[Epoch 12] Time: 2422.174695253372, Train loss: 4.693023066036403e-05, Train accuracy: 0.99826, Test loss: 0.0035464997202157974, Test accuracy: 0.9119
[Epoch 13] Time: 2572.3337445259094, Train loss: 4.203988738358021e-05, Train accuracy: 0.99844, Test loss: 0.003596661950647831, Test accuracy: 0.9143
[Epoch 14] Time: 2722.266506910324, Train loss: 4.25608444516547e-05, Train accuracy: 0.99834, Test loss: 0.003513089486956596, Test accuracy: 0.9132
[Epoch 15] Time: 2872.0919795036316, Train loss: 4.1252054162323475e-05, Train accuracy: 0.99858, Test loss: 0.0035371514275670053, Test accuracy: 0.9145
[Epoch 16] Time: 3022.224781513214, Train loss: 4.1209219372831286e-05, Train accuracy: 0.99886, Test loss: 0.0035705684915184974, Test accuracy: 0.9131
[Epoch 17] Time: 3172.066957950592, Train loss: 4.397085397737101e-05, Train accuracy: 0.9986, Test loss: 0.0034972557477653027, Test accuracy: 0.9129
[Epoch 18] Time: 3320.6276319026947, Train loss: 4.3331654909998176e-05, Train accuracy: 0.9989, Test loss: 0.0035711450755596163, Test accuracy: 0.9142
[Epoch 19] Time: 3467.5380206108093, Train loss: 3.8982828222215176e-05, Train accuracy: 0.9988, Test loss: 0.0037207537695765494, Test accuracy: 0.9135
[Epoch 20] Time: 3612.3145475387573, Train loss: 4.408190757036209e-05, Train accuracy: 0.99878, Test loss: 0.0036164758801460264, Test accuracy: 0.9117
[Epoch 21] Time: 3758.006669998169, Train loss: 3.980910316109657e-05, Train accuracy: 0.9987, Test loss: 0.0036646739825606347, Test accuracy: 0.9149
[Epoch 22] Time: 3904.998283147812, Train loss: 4.013805536087603e-05, Train accuracy: 0.99878, Test loss: 0.003602264779806137, Test accuracy: 0.9107
[Epoch 23] Time: 4054.298372745514, Train loss: 4.004970829933882e-05, Train accuracy: 0.9988, Test loss: 0.003815818098187447, Test accuracy: 0.9143
[Epoch 24] Time: 4198.202193498611, Train loss: 3.419982546940446e-05, Train accuracy: 0.99878, Test loss: 0.0037434047989547254, Test accuracy: 0.9102
[Epoch 25] Time: 4295.901892900467, Train loss: 3.836095901671797e-05, Train accuracy: 0.99914, Test loss: 0.003691480900347233, Test accuracy: 0.9128
[Epoch 26] Time: 4393.18931388855, Train loss: 3.628030997468159e-05, Train accuracy: 0.99894, Test loss: 0.003826677966117859, Test accuracy: 0.9132
[Epoch 27] Time: 4490.9179146289825, Train loss: 3.160545049235225e-05, Train accuracy: 0.99916, Test loss: 0.003718078036606312, Test accuracy: 0.9109
[Epoch 28] Time: 4588.527356147766, Train loss: 3.304907810408622e-05, Train accuracy: 0.9986, Test loss: 0.0036070148557424547, Test accuracy: 0.9123
[Epoch 29] Time: 4686.007555484772, Train loss: 3.484187661902979e-05, Train accuracy: 0.9991, Test loss: 0.003819167795777321, Test accuracy: 0.9095
[Epoch 0] Time: 97.08525156974792, Train loss: 3.4034458133392035e-05, Train accuracy: 0.9992, Test loss: 0.003679500742256641, Test accuracy: 0.9125
[Epoch 1] Time: 194.69303274154663, Train loss: 3.319488349370659e-05, Train accuracy: 0.99924, Test loss: 0.0036089629918336866, Test accuracy: 0.9117
[Epoch 2] Time: 292.0961420536041, Train loss: 2.5396879113977777e-05, Train accuracy: 0.9993, Test loss: 0.0035761779297143223, Test accuracy: 0.9137
