Namespace(batchSize=128, epoch=300, lr=0.1, method='momsgd', modelIn=None, modelOut='./vgg19/noise_0.3.pth', ngpu=1, noise=0.3)
Files already downloaded and verified
Files already downloaded and verified
[Epoch 0] Time: 156.78446507453918, Train loss: 0.01874125117301941, Train accuracy: 0.09732, Test loss: 0.018900408148765563, Test accuracy: 0.0966
[Epoch 1] Time: 307.1247901916504, Train loss: 0.01863739685535431, Train accuracy: 0.10258, Test loss: 0.018825503587722777, Test accuracy: 0.1012
[Epoch 2] Time: 458.55281114578247, Train loss: 0.018619164032936095, Train accuracy: 0.09862, Test loss: 0.01879197196960449, Test accuracy: 0.0952
[Epoch 3] Time: 609.213098526001, Train loss: 0.01865675660133362, Train accuracy: 0.10084, Test loss: 0.01882163345813751, Test accuracy: 0.1002
[Epoch 4] Time: 761.2600202560425, Train loss: 0.018626796202659605, Train accuracy: 0.09844, Test loss: 0.018770537543296814, Test accuracy: 0.1003
[Epoch 5] Time: 913.3857727050781, Train loss: 0.018629951467514037, Train accuracy: 0.10066, Test loss: 0.018857195901870728, Test accuracy: 0.1013
[Epoch 6] Time: 1065.52787399292, Train loss: 0.018645760526657104, Train accuracy: 0.09958, Test loss: 0.018875524592399596, Test accuracy: 0.097
[Epoch 7] Time: 1217.5434856414795, Train loss: 0.01862052975654602, Train accuracy: 0.10132, Test loss: 0.01885469048023224, Test accuracy: 0.1029
[Epoch 8] Time: 1369.3386294841766, Train loss: 0.01733061366081238, Train accuracy: 0.16258, Test loss: 0.017409136390686034, Test accuracy: 0.158
[Epoch 9] Time: 1521.1324059963226, Train loss: 0.015813698403835296, Train accuracy: 0.18532, Test loss: 0.015845585203170778, Test accuracy: 0.188
[Epoch 10] Time: 1671.9792878627777, Train loss: 0.015787098574638368, Train accuracy: 0.19274, Test loss: 0.015880470252037048, Test accuracy: 0.1889
[Epoch 11] Time: 1823.9951944351196, Train loss: 0.015199011836051941, Train accuracy: 0.22164, Test loss: 0.015410153460502625, Test accuracy: 0.2185
[Epoch 12] Time: 1975.8563306331635, Train loss: 0.015374657108783722, Train accuracy: 0.21786, Test loss: 0.015588649117946624, Test accuracy: 0.2164
[Epoch 13] Time: 2127.868232488632, Train loss: 0.014985539324283599, Train accuracy: 0.23826, Test loss: 0.015312058699131012, Test accuracy: 0.2336
[Epoch 14] Time: 2279.8163249492645, Train loss: 0.014540644929409027, Train accuracy: 0.24616, Test loss: 0.014816017723083497, Test accuracy: 0.245
[Epoch 15] Time: 2431.7437076568604, Train loss: 0.014448822879791259, Train accuracy: 0.28964, Test loss: 0.014795449841022492, Test accuracy: 0.2803
[Epoch 16] Time: 2582.979642391205, Train loss: 0.014008205819129944, Train accuracy: 0.30112, Test loss: 0.014419425117969512, Test accuracy: 0.2843
[Epoch 17] Time: 2734.522187232971, Train loss: 0.013823424253463746, Train accuracy: 0.31576, Test loss: 0.01458901777267456, Test accuracy: 0.302
[Epoch 18] Time: 2886.1244299411774, Train loss: 0.013807362775802611, Train accuracy: 0.31952, Test loss: 0.01454317216873169, Test accuracy: 0.3052
[Epoch 19] Time: 3038.1891911029816, Train loss: 0.012238245639801025, Train accuracy: 0.38396, Test loss: 0.012912614262104034, Test accuracy: 0.3643
[Epoch 20] Time: 3189.8809957504272, Train loss: 0.011549689588546753, Train accuracy: 0.40602, Test loss: 0.01234414278268814, Test accuracy: 0.3848
[Epoch 21] Time: 3342.108878850937, Train loss: 0.011014940497875214, Train accuracy: 0.4556, Test loss: 0.011257708609104156, Test accuracy: 0.4525
[Epoch 22] Time: 3494.059021949768, Train loss: 0.010609162640571594, Train accuracy: 0.50928, Test loss: 0.011320990025997162, Test accuracy: 0.4891
[Epoch 23] Time: 3643.564391851425, Train loss: 0.009865902042388916, Train accuracy: 0.55164, Test loss: 0.01050161645412445, Test accuracy: 0.537
[Epoch 24] Time: 3796.1631319522858, Train loss: 0.009202418484687806, Train accuracy: 0.57648, Test loss: 0.01014155027270317, Test accuracy: 0.5489
[Epoch 25] Time: 3947.1360924243927, Train loss: 0.009479036366939544, Train accuracy: 0.56184, Test loss: 0.010199318432807922, Test accuracy: 0.5412
[Epoch 26] Time: 4099.250827789307, Train loss: 0.008879247750043869, Train accuracy: 0.5916, Test loss: 0.010362831854820252, Test accuracy: 0.54
[Epoch 27] Time: 4251.198823213577, Train loss: 0.008906444245576859, Train accuracy: 0.59338, Test loss: 0.010104899513721467, Test accuracy: 0.5546
[Epoch 28] Time: 4402.8694133758545, Train loss: 0.00875041377544403, Train accuracy: 0.60648, Test loss: 0.009965182423591614, Test accuracy: 0.5738
[Epoch 29] Time: 4554.765964746475, Train loss: 0.008571054931879044, Train accuracy: 0.6209, Test loss: 0.009118824446201325, Test accuracy: 0.6042
[Epoch 0] Time: 152.92085552215576, Train loss: 0.006913426413536072, Train accuracy: 0.68884, Test loss: 0.007828799992799758, Test accuracy: 0.6555
[Epoch 1] Time: 305.4304106235504, Train loss: 0.006622701786756516, Train accuracy: 0.70448, Test loss: 0.007808303159475326, Test accuracy: 0.6707
[Epoch 2] Time: 457.8361678123474, Train loss: 0.00650095434308052, Train accuracy: 0.7148, Test loss: 0.007289581024646759, Test accuracy: 0.679
[Epoch 3] Time: 610.8910644054413, Train loss: 0.006583909775018692, Train accuracy: 0.71324, Test loss: 0.007700194185972214, Test accuracy: 0.6737
[Epoch 4] Time: 763.83962225914, Train loss: 0.006432881542444229, Train accuracy: 0.71876, Test loss: 0.007377949744462967, Test accuracy: 0.6904
[Epoch 5] Time: 917.0188522338867, Train loss: 0.006197983815670013, Train accuracy: 0.73498, Test loss: 0.007034032255411148, Test accuracy: 0.7047
[Epoch 6] Time: 1070.1222851276398, Train loss: 0.006197235372066498, Train accuracy: 0.73702, Test loss: 0.007300393080711364, Test accuracy: 0.7008
[Epoch 7] Time: 1222.0992822647095, Train loss: 0.00614667335152626, Train accuracy: 0.74034, Test loss: 0.0072045753121376035, Test accuracy: 0.7062
[Epoch 8] Time: 1374.6517651081085, Train loss: 0.006065242539644241, Train accuracy: 0.74218, Test loss: 0.006972468203306198, Test accuracy: 0.7147
[Epoch 9] Time: 1527.5630321502686, Train loss: 0.006154890049099923, Train accuracy: 0.745, Test loss: 0.007237574857473374, Test accuracy: 0.7079
[Epoch 10] Time: 1680.497214794159, Train loss: 0.005792721379995346, Train accuracy: 0.7585, Test loss: 0.00660371327996254, Test accuracy: 0.7373
[Epoch 11] Time: 1833.3895406723022, Train loss: 0.00588966903090477, Train accuracy: 0.75746, Test loss: 0.006782331001758575, Test accuracy: 0.7267
[Epoch 12] Time: 1985.9783353805542, Train loss: 0.005727397473454476, Train accuracy: 0.7656, Test loss: 0.006895419716835022, Test accuracy: 0.7206
[Epoch 13] Time: 2139.131762266159, Train loss: 0.00589501153409481, Train accuracy: 0.76246, Test loss: 0.006911741256713867, Test accuracy: 0.7222
[Epoch 14] Time: 2290.654005050659, Train loss: 0.00560362218439579, Train accuracy: 0.77254, Test loss: 0.006827339428663254, Test accuracy: 0.727
[Epoch 15] Time: 2443.0276153087616, Train loss: 0.005580673198699951, Train accuracy: 0.77256, Test loss: 0.006641387975215912, Test accuracy: 0.7362
[Epoch 16] Time: 2595.6772072315216, Train loss: 0.005517989083528518, Train accuracy: 0.77656, Test loss: 0.006801343590021133, Test accuracy: 0.7282
[Epoch 17] Time: 2748.7633035182953, Train loss: 0.005654368884563446, Train accuracy: 0.77358, Test loss: 0.006651601499319077, Test accuracy: 0.7414
[Epoch 18] Time: 2901.8217358589172, Train loss: 0.0055849169433116914, Train accuracy: 0.77546, Test loss: 0.006597718441486359, Test accuracy: 0.7431
[Epoch 19] Time: 3054.5390164852142, Train loss: 0.005308939097523689, Train accuracy: 0.78782, Test loss: 0.006476634901762009, Test accuracy: 0.7419
[Epoch 20] Time: 3207.5450484752655, Train loss: 0.00521722874045372, Train accuracy: 0.78844, Test loss: 0.006424831402301788, Test accuracy: 0.7443
[Epoch 21] Time: 3360.3928616046906, Train loss: 0.005313650349378586, Train accuracy: 0.78338, Test loss: 0.006729044103622436, Test accuracy: 0.7375
[Epoch 22] Time: 3513.499951839447, Train loss: 0.005214733656644821, Train accuracy: 0.79336, Test loss: 0.00637521703839302, Test accuracy: 0.7494
[Epoch 23] Time: 3666.1182379722595, Train loss: 0.0053030905473232266, Train accuracy: 0.78548, Test loss: 0.006345464962720871, Test accuracy: 0.7543
[Epoch 24] Time: 3818.916000843048, Train loss: 0.005152672091126442, Train accuracy: 0.79448, Test loss: 0.006634119343757629, Test accuracy: 0.7414
